Band,Name
1,num_observations_1km
2,state_1km
3,SensorZenith
4,SensorAzimuth
5,Range
6,SolarZenith
7,SolarAzimuth
8,gflags
9,orbit_pnt
10,granule_pnt
11,num_observations_500m
12,sur_refl_b01
13,sur_refl_b02
14,sur_refl_b03
15,sur_refl_b04
16,sur_refl_b05
17,sur_refl_b06
18,sur_refl_b07
19,QC_500m
20,obscov_500m
21,iobs_res
22,q_scan
23,NDVI
