TIMESTAMP,ta_ec,td_ec,d_ec,sd_ta_ec,wdir_ec,ws_ec,ustar,z_L,H,LE,rhov*Uz_Avg,rhov*Uz_Std,rhov*Uz_Var,rhov*Uz_Skew,rhov*Uz_Kurt,Records,rn_avg,isw_avg,osw_avg,ilw_avg,olw_avg,isw_pyra,gflux_1_avg,gflux_2_avg,gflux_avg,tcav_avg,vwc_avg,irt_sb_avg,irt_tt_avg,closure,le_closed,h_closed,mag_v,sig_v,ol
2017-06-04,28.14,5.371666666666667,2927.8633333333332,0.43345,179.77,1.9533333333333334,0.25883333333333336,-0.0523,24.38666666666667,298.49833333333333,0.00010639333333333333,0.00034978333333333337,1.2286666666666664e-07,1.8326500000000001,11.192666666666666,72000.0,605.2766666666666,953.75,207.24833333333333,341.23,482.1133333333333,887.7559133333333,81.46622034916666,87.76622034916667,84.61622034916667,20.659666666666666,0.2893,,,0.6210399893362243,480.9129949505053,39.74745136699462,2.2761666666666667,0.7871666666666667,-53.154875717017205
2017-06-20,29.328333333333333,9.535,2903.3816666666667,0.4124333333333333,197.72666666666666,1.4116666666666666,0.20416666666666666,-0.06803333333333333,13.861666666666668,335.9133333333333,0.00012310999999999998,0.000356115,1.2696666666666666e-07,3.2098666666666666,31.44845,72000.0,589.1933333333334,934.1,207.23333333333332,360.77,498.82666666666665,874.5454216666667,67.204811106,75.506311106,71.355561106,23.226999999999997,0.09888333333333334,,,0.6746298657988676,497.39974696636733,20.43802526096608,1.7286666666666666,0.5216666666666667,-40.86232239098481
2017-07-22,26.78666666666667,15.553333333333333,1752.1366666666665,0.5892999999999999,335.66833333333335,1.4533333333333334,0.2005,0.014016666666666667,-2.6333333333333333,215.53166666666667,8.082166666666667e-05,0.00034476,1.1894999999999999e-07,7.779816666666666,146.02960000000002,72000.0,538.4283333333333,885.9166666666666,206.28833333333333,348.78166666666664,488.97499999999997,821.2597933333334,79.49474879183333,85.20209879183334,82.34842379183334,24.780166666666666,0.37306666666666666,,,0.46691025627139554,461.6976598962695,-5.617750354769499,1.7126666666666666,0.5,198.33531510107014
2017-10-10,10.916666666666668,-4.165,857.2366666666667,0.5347000000000001,189.70333333333332,1.5416666666666667,0.19,-0.28759999999999997,52.51,119.67166666666667,4.369166666666668e-05,0.0001379033333333333,1.8993333333333333e-08,3.3651000000000004,31.058316666666666,72000.0,326.2083333333333,654.4766666666666,176.6966666666667,254.32500000000002,405.98499999999996,622.2576349999999,59.99260692766667,62.57790692766667,61.285256927666666,11.953166666666666,0.36088333333333333,,,0.6492453297246746,184.16292229494948,80.76015411071721,1.8855,0.6535,-9.666203059805285
2018-05-06,23.775000000000002,3.4183333333333334,2159.775,0.5569,162.34333333333333,2.316666666666667,0.33166666666666667,-0.033900000000000007,33.50333333333334,289.95,9.985666666666667e-05,0.00037418333333333337,1.4031666666666666e-07,3.9516666666666667,50.44396666666667,72000.0,533.29,897.5666666666667,213.78166666666667,323.385,473.43833333333333,836.5154583333334,37.40058772183333,38.6788543885,38.039721055166666,15.4925,0.06688333333333334,,,0.652582359876644,443.90996503479255,51.34031391004077,0.9084939759036145,0.33506827309236953,-82.00589970501473
2018-06-07,27.581666666666667,1.9883333333333333,2996.3883333333333,0.4132,156.72833333333332,2.8699999999999997,0.45816666666666667,-0.03353333333333334,89.00500000000001,268.81333333333333,8.833833333333334e-05,0.00034070333333333335,1.1621666666666667e-07,1.8083333333333333,11.578433333333333,72000.0,540.795,943.6333333333333,259.0133333333334,425.1716666666667,568.9966666666667,884.3843233333333,67.10374974449999,61.466516411166666,64.28513307783334,20.489333333333335,0.08903892916666667,31.421338833333333,29.281935333333333,0.7498456843912327,358.13392591552946,118.37594100663713,2.4954623507805325,0.361479797979798,-82.90258449304173
2018-06-23,23.793333333333333,6.765,1960.0083333333332,0.4736,305.01666666666665,1.6,0.30283333333333334,-0.05436666666666667,43.211666666666666,243.395,8.870833333333334e-05,0.00025364500000000004,6.4725e-08,3.1379833333333336,26.044583333333332,72000.0,537.9633333333333,905.0666666666667,203.14,366.765,530.7283333333334,871.336015,63.46328800850001,60.95962134183333,62.211454675166664,22.469333333333335,0.09053867666666668,28.128792333333333,30.150604333333334,0.5996363046456642,404.54711747210246,71.2047611860642,1.0451800184162061,0.47288259668508287,-51.134273451870015
2018-07-09,29.116666666666667,19.106666666666666,1837.8233333333335,0.40075,265.62666666666667,0.935,0.20883333333333332,-0.09040000000000001,23.158333333333335,359.21333333333337,0.000132095,0.0003057483333333333,9.474666666666667e-08,3.1578166666666667,20.53558333333333,72000.0,493.8383333333333,870.8666666666667,191.45166666666665,357.36333333333334,543.2933333333333,815.607555,83.316796158,79.31479615800001,81.315796158,25.477833333333333,0.08473395299999999,35.09749033333333,34.26563,0.926945077875931,387.538938391698,24.98359878363537,0.6933954337899544,0.28,-30.752212389380524
2018-07-25,29.028333333333332,15.701666666666666,2242.1716666666666,0.6072833333333333,76.23333333333332,0.6649999999999999,0.2776666666666667,-0.011366666666666667,5.433333333333334,316.8066666666667,0.00011855333333333334,0.0003288866666666667,1.0803333333333333e-07,3.288766666666667,29.77011666666667,72000.0,399.03499999999997,797.2233333333332,183.74666666666667,352.9433333333333,567.4733333333334,743.50831,48.12354660783333,46.1302132745,47.12687994116667,25.584666666666667,0.043,35.06805066666667,32.65769916666667,0.9147999652775372,346.2101668987516,5.6979531600816244,0.6562682363804248,0.19982548476454293,-244.574780058651
2018-08-10,29.240000000000002,7.593333333333334,3026.121666666667,0.5507333333333333,240.12833333333333,0.5700000000000001,0.2971666666666667,-0.027016666666666665,13.758333333333335,271.39666666666665,0.00010272166666666666,0.00027301166666666673,7.458166666666667e-08,4.5766,41.83951666666667,72000.0,431.13666666666666,800.0416666666666,165.65333333333334,327.295,530.6583333333333,752.3138266666667,83.74800950699999,84.52867617366667,84.13834284033334,23.981666666666666,0.22788333333333335,35.58227433333333,31.778730833333334,0.8205747874632737,330.3414762460002,16.656847580333167,1.2840807940904893,0.6732082179132041,-102.89944478716842
